forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
enrich decision -> enter senddate decision (frequency = 9, performance = 1.00)
enter date decision permanent suspension -> enter senddate decision permanent suspension (frequency = 9, performance = 8492.78)
enter senddate acknowledgement -> send procedure confirmation (frequency = 9, performance = 5169730.78)
forward to the competent authority -> generating decision environmental permit (frequency = 9, performance = 1.00)
keep permanently suspended -> enter date decision permanent suspension (frequency = 9, performance = 678730.11)
phase asked additional information -> phase permanently suspended (frequency = 9, performance = 1.00)
phase asked additional information -> receive additional information (frequency = 9, performance = 1.00)
phase decision irrevocable -> phase decision sent (frequency = 9, performance = 1.00)
phase procedure prematurely terminated -> read publication date field (frequency = 9, performance = 1.00)
procedure change -> set decision status (frequency = 9, performance = 1.00)
register objection and appeal periods -> start decision phase decision permitting sent (frequency = 9, performance = 38400.78)
registration date publication -> retrieve missing data (frequency = 9, performance = 1661245.22)
request complete -> send procedure confirmation (frequency = 9, performance = 132269.78)
send confirmation receipt -> send letter in progress (frequency = 9, performance = 1.00)
set decision status -> submit draft decision (frequency = 9, performance = 1.00)
start WABOprocedure -> start decision phase extension granted (frequency = 9, performance = 3861506.00)
start decision phase decision permitting sent -> set phase: phase permitting irrevocable (frequency = 9, performance = 4229172.22)
suspend term -> suspension ground applicable (frequency = 9, performance = 1.00)
term for supplying missing data -> phase additional information received (frequency = 9, performance = 2775180.44)
article 34  WABO applies -> procedure change (frequency = 8, performance = 1.00)
copy decision to extend procedure to stakeholders -> create cover letter extend procedure term (frequency = 8, performance = 1.00)
create cover letter draft decision -> create publication document (frequency = 8, performance = 1.00)
create letter requesting missing data -> create procedure confirmation (frequency = 8, performance = 1.00)
create publication document -> creating environmental permit decision (frequency = 8, performance = 1.00)
date decision for inspection -> set decision phase inspection of decision permitting (frequency = 8, performance = 1.00)
enter date termination request received -> enter senddate confirmation request (frequency = 8, performance = 550350.38)
enter senddate acknowledgement -> enter date decision procedure term extension (frequency = 8, performance = 3691804.38)
enter senddate decision environmental permit -> phase decision ready (frequency = 8, performance = 1.00)
enter senddate procedure term extension -> enter senddate procedure term extension (frequency = 8, performance = 1.00)
forward to the competent authority -> regular procedure without MER (frequency = 8, performance = 1.00)
generating decision environmental permit -> phase concept decision ready (frequency = 8, performance = 1.00)
investigate BAG objects -> phase advice known (frequency = 8, performance = 2.88)
keep permanently suspended -> phase asked additional information (frequency = 8, performance = 1.00)
message terminate request -> phase archived case (frequency = 8, performance = 1.00)
open draft decision for inspection -> phase draft decision made (frequency = 8, performance = 1.00)
perspective on draft decision environmental permit received -> phase decision sent (frequency = 8, performance = 1.00)
